,timestamp,close
0,2017-12-20,226.0
1,2017-12-19,227.47
2,2017-12-18,222.66
3,2017-12-15,218.25
4,2017-12-14,217.17
5,2017-12-13,215.03
6,2017-12-12,214.87
7,2017-12-11,216.14
8,2017-12-08,224.54
9,2017-12-07,221.59
10,2017-12-06,223.14
11,2017-12-05,223.97
12,2017-12-04,221.64
13,2017-12-01,212.58
14,2017-11-30,221.71
15,2017-11-29,223.1
16,2017-11-28,217.07
17,2017-11-27,206.69
18,2017-11-24,210.37
19,2017-11-22,212.3
20,2017-11-21,209.96
21,2017-11-20,209.16
22,2017-11-17,215.1
23,2017-11-16,205.96
24,2017-11-15,199.99
25,2017-11-14,199.05
26,2017-11-13,198.03
27,2017-11-10,200.76
28,2017-11-09,199.19
29,2017-11-08,195.9
30,2017-11-07,198.01
31,2017-11-06,201.33
32,2017-11-03,202.05
33,2017-11-02,202.9
34,2017-11-01,204.83
35,2017-10-31,201.79
36,2017-10-30,201.69
37,2017-10-27,198.93
38,2017-10-26,200.51
39,2017-10-25,201.29
40,2017-10-24,203.31
41,2017-10-23,202.36
42,2017-10-20,204.84
43,2017-10-19,204.62
44,2017-10-18,198.37
45,2017-10-17,202.28
46,2017-10-16,193.7
47,2017-10-13,198.58
48,2017-10-12,190.16
49,2017-10-11,207.89
50,2017-10-10,212.69
51,2017-10-09,217.34
52,2017-10-06,219.91
53,2017-10-05,220.63
54,2017-10-04,223.52
55,2017-10-03,227.62
56,2017-10-02,223.8
57,2017-09-29,226.06
58,2017-09-28,226.89
59,2017-09-27,227.66
60,2017-09-26,218.99
61,2017-09-25,218.89
62,2017-09-22,219.17
63,2017-09-21,219.74
64,2017-09-20,223.84
65,2017-09-19,224.45
66,2017-09-18,227.08
67,2017-09-15,224.67
68,2017-09-14,223.93
69,2017-09-13,226.41
70,2017-09-12,226.88
71,2017-09-11,228.6
72,2017-09-08,226.98
73,2017-09-07,230.53
74,2017-09-06,228.0
75,2017-09-05,223.9
76,2017-09-01,221.73
77,2017-08-31,221.01
78,2017-08-30,213.57
79,2017-08-29,211.78
80,2017-08-28,207.75
81,2017-08-25,212.36
82,2017-08-24,233.71
83,2017-08-23,232.06
84,2017-08-22,231.65
85,2017-08-21,234.21
86,2017-08-18,244.2
87,2017-08-17,241.43
88,2017-08-16,243.43
89,2017-08-15,237.67
90,2017-08-14,248.47
91,2017-08-11,251.05
92,2017-08-10,246.87
93,2017-08-09,253.08
94,2017-08-08,250.64
95,2017-08-07,248.81
96,2017-08-04,250.2
97,2017-08-03,251.28
98,2017-08-02,247.97
99,2017-08-01,255.27
100,2017-07-31,251.21
101,2017-07-28,248.6
102,2017-07-27,249.43
103,2017-07-26,247.24
104,2017-07-25,256.61
105,2017-07-24,252.08
106,2017-07-21,253.4
107,2017-07-20,255.74
108,2017-07-19,256.75
109,2017-07-18,258.75
110,2017-07-17,253.94
111,2017-07-14,261.74
112,2017-07-13,257.4
113,2017-07-12,261.86
114,2017-07-11,255.98
115,2017-07-10,268.82
116,2017-07-07,276.97
117,2017-07-06,273.24
118,2017-07-05,279.04
119,2017-07-03,283.36
120,2017-06-30,287.34
121,2017-06-29,285.88
122,2017-06-28,285.28
123,2017-06-27,282.86
124,2017-06-26,289.72
125,2017-06-23,284.71
126,2017-06-22,284.14
127,2017-06-21,288.84
128,2017-06-20,296.5
129,2017-06-19,294.17
130,2017-06-16,295.94
131,2017-06-15,300.13
132,2017-06-14,302.21
133,2017-06-13,302.69
134,2017-06-12,301.02
135,2017-06-09,307.87
136,2017-06-08,307.27
137,2017-06-07,307.94
138,2017-06-06,306.96
139,2017-06-05,313.73
140,2017-06-02,311.47
141,2017-06-01,306.72
142,2017-05-31,304.84
143,2017-05-30,303.0
144,2017-05-26,302.4
145,2017-05-25,293.04
146,2017-05-24,280.51
147,2017-05-23,290.55
148,2017-05-22,294.94
149,2017-05-19,294.08
150,2017-05-18,297.82
151,2017-05-17,292.09
152,2017-05-16,293.33
153,2017-05-15,295.41
154,2017-05-12,297.55
155,2017-05-11,299.91
156,2017-05-10,299.47
157,2017-05-09,299.57
158,2017-05-08,297.54
159,2017-05-05,295.47
160,2017-05-04,292.21
161,2017-05-03,290.36
162,2017-05-02,288.59
163,2017-05-01,283.22
164,2017-04-28,281.44
165,2017-04-27,281.68
166,2017-04-26,279.69
167,2017-04-25,277.99
168,2017-04-24,278.21
169,2017-04-21,279.5
170,2017-04-20,278.73
171,2017-04-19,279.46
172,2017-04-18,282.86
173,2017-04-17,283.17
174,2017-04-13,282.68
175,2017-04-12,283.78
176,2017-04-11,286.65
177,2017-04-10,286.59
178,2017-04-07,284.5
179,2017-04-06,284.96
180,2017-04-05,281.65
181,2017-04-04,281.57
182,2017-04-03,282.03
183,2017-03-31,285.23
184,2017-03-30,285.51
185,2017-03-29,283.43
186,2017-03-28,282.86
187,2017-03-27,280.14
188,2017-03-24,281.53
189,2017-03-23,281.22
190,2017-03-22,283.26
191,2017-03-21,281.28
192,2017-03-20,285.71
193,2017-03-17,288.81
194,2017-03-16,286.32
195,2017-03-15,287.78
196,2017-03-14,285.38
197,2017-03-13,286.91
198,2017-03-10,286.42
199,2017-03-09,273.77
200,2017-03-08,275.47
201,2017-03-07,269.92
202,2017-03-06,275.59
203,2017-03-03,278.15
204,2017-03-02,277.45
205,2017-03-01,274.83
206,2017-02-28,273.43
207,2017-02-27,275.69
208,2017-02-24,276.33
209,2017-02-23,274.6
210,2017-02-22,277.19
211,2017-02-21,277.26
212,2017-02-17,275.15
213,2017-02-16,272.09
214,2017-02-15,273.64
215,2017-02-14,271.46
216,2017-02-13,268.12
217,2017-02-10,269.84
218,2017-02-09,272.87
219,2017-02-08,272.82
220,2017-02-07,272.49
221,2017-02-06,273.08
222,2017-02-03,272.06
223,2017-02-02,270.75
224,2017-02-01,269.54
225,2017-01-31,272.28
226,2017-01-30,270.18
227,2017-01-27,271.44
228,2017-01-26,272.42
229,2017-01-25,272.01
230,2017-01-24,268.81
231,2017-01-23,266.02
232,2017-01-20,266.22
233,2017-01-19,266.12
234,2017-01-18,265.5
235,2017-01-17,263.06
236,2017-01-13,261.4
